model_id,brand,model,title,model_year,diagonal_inches,vesa_width_mm,vesa_height_mm,screw_group,thread,measurement_kind,length_mm,engagement_min_mm,engagement_max_mm,range_label,quantity,adapters_status,required_parts_note,vesa_source_conflict,conflict_note,source_region,checked_at,source_label,source_url,secondary_source_label,secondary_source_url
hisense-65u7s,Hisense,65U7S,Hisense 65U7S,2026,65,400,300,Четыре точки VESA,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,false,,Россия,2026-07-31,"Российское руководство Hisense U7S, стр. 2 раздела монтажа (PDF 6)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U7S/20170325_50%2655U77SL_RU-50%2655U7S_RU-65%2675%2685U7S_Rus.pdf,,
hisense-65u8q,Hisense,65U8Q,Hisense 65U8Q,2025,65,400,400,Четыре точки VESA,M6,engagement_range,,9.5,11.5,L,4,unknown,"Руководство требует разместить промежуточные вставки между телевизором и кронштейном; их количество, размер и комплектность не указаны.",false,,Россия,2026-07-31,"Российское руководство Hisense 65/75U8Q, стр. 3 раздела монтажа (PDF 9)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U8Q/65-75U8Q.pdf,Поддержка точной модели Hisense 65U8Q,https://ru.hisense.com/support/downloads/?ACTION=start&ID=8669&PARENT_SECTION=10
hisense-65ur9s,Hisense,65UR9S,Hisense 65UR9S,2026,65,400,400,Четыре точки VESA,M6,engagement_range,,9.5,11.5,L,4,unknown,"Руководство требует разместить промежуточные вставки между телевизором и кронштейном; их количество, размер и комплектность не указаны.",false,,Россия,2026-07-31,"Российское руководство Hisense 65/75/85UR9S, стр. 4 раздела монтажа (PDF 8)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/UR9S/20221782_65-75-85UR9S_Rus.pdf,Поддержка точной модели Hisense 65UR9S,https://ru.hisense.com/support/downloads/?ACTION=start&ID=9197&PARENT_SECTION=10
samsung-qe43q7faauxru,Samsung,QE43Q7FAAUXRU,Samsung QE43Q7FAAUXRU,2025,43,200,200,Четыре точки VESA,M8,engagement_range,,19,21,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung Q7FA из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=QE43Q7FAAU&CttFileID=10108131&CDCttType=EM&VPath=EM%2F202503%2F20250318033429001%2FBN68-21987A-00_IG_Q7FA+Flat+feet+43-65inch_WW_L10_250203.0.pdf,,
samsung-qe50q7faauxru,Samsung,QE50Q7FAAUXRU,Samsung QE50Q7FAAUXRU,2025,50,200,200,Четыре точки VESA,M8,engagement_range,,19,21,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung Q7FA из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=QE50Q7FAAU&CttFileID=10108143&CDCttType=EM&VPath=EM%2F202503%2F20250318033447001%2FBN68-21987A-00_IG_Q7FA+Flat+feet+43-65inch_WW_L10_250203.0.pdf,,
samsung-ue32f6000fuxru,Samsung,UE32F6000FUXRU,Samsung UE32F6000FUXRU,2025,32,200,200,Четыре точки VESA,M8,engagement_range,,21,23,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung F6000F из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=UE32F6000FU&CttFileID=10080407&CDCttType=EM&VPath=EM%2F202502%2F20250222034517001%2FBN68-20862A-01_IG_F6000F+H5000F+Low+Feet+32-43inch_WW_L10_241211.0.pdf,,
samsung-ue43u8000fuxru,Samsung,UE43U8000FUXRU,Samsung UE43U8000FUXRU,2025,43,200,200,Четыре точки VESA,M8,engagement_range,,23,25,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung U8000F из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=UE43U8000FU&CttFileID=10829282&CDCttType=EM&VPath=EM%2F202508%2F20250829044531001%2FBN68-23714A-02_IG_U8000F+Basic+feet+43-85inch_WW_L10_250825.0.pdf,,
samsung-ue50u8000fuxru,Samsung,UE50U8000FUXRU,Samsung UE50U8000FUXRU,2025,50,200,200,Четыре точки VESA,M8,engagement_range,,23,25,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung U8000F из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=UE50U8000FU&CttFileID=10829562&CDCttType=EM&VPath=EM%2F202508%2F20250829045320001%2FBN68-23714A-02_IG_U8000F+Basic+feet+43-85inch_WW_L10_250825.0.pdf,,
samsung-ue55u8000fuxru,Samsung,UE55U8000FUXRU,Samsung UE55U8000FUXRU,2025,55,200,200,Четыре точки VESA,M8,engagement_range,,23,25,C,4,unknown,,false,,Россия,2026-07-31,"Руководство по установке Samsung U8000F из российской карточки, PDF 2",https://org.downloadcenter.samsung.com/downloadfile/ContentsFile.aspx?CDSite=UNI_RU&OriginYN=N&ModelType=N&ModelName=UE55U8000FU&CttFileID=10828788&CDCttType=EM&VPath=EM%2F202508%2F20250829043146001%2FBN68-23714A-02_IG_U8000F+Basic+feet+43-85inch_WW_L10_250825.0.pdf,,
tcl-55c6k,TCL,55C6K,TCL 55C6K,2025,55,300,300,Стандартная схема VESA,M6,exact_length,16,,,,4,not_required,,false,,Австралия,2026-07-31,"Официальная спецификация TCL 55C6K, стр. 2",https://www.tcl.com/content/dam/brandsite/region/australia/products/tv/c-series/c6k/downloads/55C6K_Specs.pdf,,
tcl-55c7k,TCL,55C7K,TCL 55C7K,2025,55,300,300,Стандартная схема VESA,M6,exact_length,16,,,,4,not_required,,false,,Россия,2026-07-31,"Российское руководство TCL C7K, стр. 26",https://www.tcl.com/ru/ru/support-tv/model/55c7k,,
tcl-55c7l,TCL,55C7L,TCL 55C7L,2026,55,300,300,Четыре точки VESA,M6,exact_length,20,,,,4,required,,false,,Россия,2026-07-31,"Российское руководство TCL C7L, стр. 27",https://www.tcl.com/ru/ru/support-tv/model/55c7l,,
tcl-55p6k,TCL,55P6K,TCL 55P6K,2025,55,200,200,Верхний ряд,M6,length_unknown,,,,,2,unknown,Не используйте M6×12 из раздела защиты от опрокидывания как винты VESA. Полную длину подбирают отдельно для каждого ряда с учётом толщины планки кронштейна.,false,,Япония,2026-07-31,"Официальное руководство TCL P6K, PDF 20",https://static-obg.tcl.com/content/dam/brandsite/region/japan/products/tv/p-series/p6k/P6K_%E5%8F%96%E6%89%B1%E8%AA%AC%E6%98%8E%E6%9B%B820250821.pdf,Официальный размерный чертёж TCL 55P6K,https://static-obg.tcl.com/content/dam/brandsite/region/japan/products/tv/p-series/p6k/55V6C-T6C-U65-P6K-six-view-20250305.pdf
tcl-55p6k,TCL,55P6K,TCL 55P6K,2025,55,200,200,Нижний ряд,M6,length_unknown,,,,,2,unknown,Не используйте M6×12 из раздела защиты от опрокидывания как винты VESA. Полную длину подбирают отдельно для каждого ряда с учётом толщины планки кронштейна.,false,,Япония,2026-07-31,"Официальное руководство TCL P6K, PDF 20",https://static-obg.tcl.com/content/dam/brandsite/region/japan/products/tv/p-series/p6k/P6K_%E5%8F%96%E6%89%B1%E8%AA%AC%E6%98%8E%E6%9B%B820250821.pdf,Официальный размерный чертёж TCL 55P6K,https://static-obg.tcl.com/content/dam/brandsite/region/japan/products/tv/p-series/p6k/55V6C-T6C-U65-P6K-six-view-20250305.pdf
tcl-55p7k,TCL,55P7K,TCL 55P7K,2025,55,300,300,Группа M6×16 — ряд не указан,M6,exact_length,16,,,,2,unknown,Документ не распределяет пары M6×16 и M6×30 по верхнему и нижнему рядам. Не выбирайте расположение по аналогии; сверяйте бумажную инструкцию российского экземпляра.,false,,Новая Зеландия,2026-07-31,"Официальная спецификация TCL 55P7K, PDF 2",https://static-obg.tcl.com/content/dam/brandsite/region/nz/product/tvs/p-series/p7k/55P7K_Product_Specification_NZ.pdf,Российская спецификация точной модели TCL 55P7K,https://www.tcl.com/content/brandsite/ru/ru/tvs/p7k/jcr:content/root/container/container/container/subnav_menus/specifications1/product_spec.L2NvbnRlbnQvYnJhbmRzaXRlLXByb2R1Y3QvcnUvcnUvdHZzL3A3ay81NXA3aw==.json
tcl-55p7k,TCL,55P7K,TCL 55P7K,2025,55,300,300,Группа M6×30 — ряд не указан,M6,exact_length,30,,,,2,unknown,Документ не распределяет пары M6×16 и M6×30 по верхнему и нижнему рядам. Не выбирайте расположение по аналогии; сверяйте бумажную инструкцию российского экземпляра.,false,,Новая Зеландия,2026-07-31,"Официальная спецификация TCL 55P7K, PDF 2",https://static-obg.tcl.com/content/dam/brandsite/region/nz/product/tvs/p-series/p7k/55P7K_Product_Specification_NZ.pdf,Российская спецификация точной модели TCL 55P7K,https://www.tcl.com/content/brandsite/ru/ru/tvs/p7k/jcr:content/root/container/container/container/subnav_menus/specifications1/product_spec.L2NvbnRlbnQvYnJhbmRzaXRlLXByb2R1Y3QvcnUvcnUvdHZzL3A3ay81NXA3aw==.json
tcl-65c7k,TCL,65C7K,TCL 65C7K,2025,65,300,300,Верхний ряд,M6,exact_length,16,,,,2,not_required,,false,,Россия,2026-07-31,"Российское руководство TCL C7K, стр. 26",https://www.tcl.com/ru/ru/support-tv/model/65c7k,,
tcl-65c7k,TCL,65C7K,TCL 65C7K,2025,65,300,300,Нижний ряд,M6,exact_length,12,,,,2,not_required,,false,,Россия,2026-07-31,"Российское руководство TCL C7K, стр. 26",https://www.tcl.com/ru/ru/support-tv/model/65c7k,,
tcl-75c6k,TCL,75C6K,TCL 75C6K,2025,75,300,300,Стандартная схема VESA,M6,exact_length,16,,,,4,not_required,,false,,Австралия,2026-07-31,"Официальная спецификация TCL 75C6K, стр. 2",https://www.tcl.com/content/dam/brandsite/region/australia/products/tv/c-series/c6k/downloads/75C6K_Specs.pdf,,
