model_id,brand,model,title,series,model_year,diagonal_inches,passport_mass_kg,weight_basis,vesa_width_mm,vesa_height_mm,vesa_source_conflict,conflicting_catalog_value,conflicting_manual_value,conflict_note,checked_at,source_label,source_url,krepitv_model_url
hisense-55u7s-pro,Hisense,55U7S PRO,Hisense 55U7S PRO,U7S PRO,2026,55,14.1,without_stand,400,300,true,400×300 мм,400×400 мм,До монтажа измерьте расстояние между центрами отверстий или сверьте бумажную инструкцию именно вашего экземпляра.,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7SPRO/,https://krepitv.ru/modeli/hisense-55u7s-pro/
hisense-55u8q,Hisense,55U8Q,Hisense 55U8Q,U8Q,2025,55,17.9,without_stand,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U8Q/,https://krepitv.ru/modeli/hisense-55u8q/
hisense-65u77sl,Hisense,65U77SL,Hisense 65U77SL,U77SL,2026,65,18.6,without_stand,400,300,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U77SL/,https://krepitv.ru/modeli/hisense-65u77sl/
hisense-65u7q,Hisense,65U7Q,Hisense 65U7Q,U7Q,2025,65,19.5,without_stand,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U7Q/,https://krepitv.ru/modeli/hisense-65u7q/
hisense-65u7s,Hisense,65U7S,Hisense 65U7S,U7S,2026,65,18.6,without_stand,400,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U7S/,https://krepitv.ru/modeli/hisense-65u7s/
hisense-65u8q,Hisense,65U8Q,Hisense 65U8Q,U8Q,2025,65,24.4,without_stand,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U8Q/,https://krepitv.ru/modeli/hisense-65u8q/
hisense-65ur9s,Hisense,65UR9S,Hisense 65UR9S,UR9S,2026,65,24.4,without_stand,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65UR9S/,https://krepitv.ru/modeli/hisense-65ur9s/
hisense-75u7q,Hisense,75U7Q,Hisense 75U7Q,U7Q,2025,75,27.5,without_stand,600,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/75U7Q/,https://krepitv.ru/modeli/hisense-75u7q/
hisense-85e7s,Hisense,85E7S,Hisense 85E7S,E7S,2026,85,26.9,without_stand,500,400,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/85E7S/,https://krepitv.ru/modeli/hisense-85e7s/
hyundai-h-led32bs5002,Hyundai,H-LED32BS5002,Hyundai H-LED32BS5002,BS5002,,32,3.9,published_unspecified,200,200,false,,,,2026-08-04,Официальные характеристики Hyundai,https://hyundai-electronics.com.ru/catalog/item/hyundai-H-LED32BS5002-1892510/,https://krepitv.ru/modeli/hyundai-h-led32bs5002/
hyundai-h-led32bs5003,Hyundai,H-LED32BS5003,Hyundai H-LED32BS5003,BS5003,,32,4,published_unspecified,200,200,false,,,,2026-08-04,Официальные характеристики Hyundai,https://hyundai-electronics.com.ru/catalog/item/hyundai-H-LED32BS5003-1783621/,https://krepitv.ru/modeli/hyundai-h-led32bs5003/
hyundai-h-led40bs5011,Hyundai,H-LED40BS5011,Hyundai H-LED40BS5011,BS5011,2026,40,4.7,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики Hyundai,https://hyundai-electronics.com.ru/catalog/item/hyundai-H-LED40BS5011-2125094/,https://krepitv.ru/modeli/hyundai-h-led40bs5011/
lg-32lq63006la,LG,32LQ63006LA,LG 32LQ63006LA,LQ6300,2022,32,4.65,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-32lq63006la,https://krepitv.ru/modeli/lg-32lq63006la/
lg-32lq630b6la,LG,32LQ630B6LA,LG 32LQ630B6LA,LQ630,2022,32,4.65,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики LG,https://www.lg.com/at/tv-soundbars/smart-tvs/32lq630b6la/,https://krepitv.ru/modeli/lg-32lq630b6la/
lg-32lq63806lc,LG,32LQ63806LC,LG 32LQ63806LC,LQ6380,2022,32,4.65,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики LG,https://www.lg.com/rs/televizori/lg-32lq63806lc,https://krepitv.ru/modeli/lg-32lq63806lc/
lg-43qned70a6a,LG,43QNED70A6A,LG 43QNED70A6A,QNED70,2025,43,7.5,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-43qned70a6a,https://krepitv.ru/modeli/lg-43qned70a6a/
lg-43qned80a6a,LG,43QNED80A6A,LG 43QNED80A6A,QNED80,2025,43,9.3,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-43qned80a6a,https://krepitv.ru/modeli/lg-43qned80a6a/
lg-43qned80b6b,LG,43QNED80B6B,LG 43QNED80B6B,QNED80,2026,43,7.3,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-43qned80b6b,https://krepitv.ru/modeli/lg-43qned80b6b/
lg-43qned82a6b,LG,43QNED82A6B,LG 43QNED82A6B,QNED82,2025,43,9.4,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-43qned82a6b,https://krepitv.ru/modeli/lg-43qned82a6b/
lg-50nano81a6a,LG,50NANO81A6A,LG 50NANO81A6A,NANO81,2025,50,12.1,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики LG,https://www.lg.com/ua/televisions/lg-50nano81a6a,https://krepitv.ru/modeli/lg-50nano81a6a/
lg-50qned70b6c,LG,50QNED70B6C,LG 50QNED70B6C,QNED70,2026,50,8.2,without_stand,300,200,false,,,,2026-08-20,Официальная карточка LG 50QNED70B6C,https://www.lg.com/ru/televisions/lg-50qned70b6c,https://krepitv.ru/modeli/lg-50qned70b6c/
lg-50qned80b6b,LG,50QNED80B6B,LG 50QNED80B6B,QNED80,2026,50,9.4,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-50qned80b6b,https://krepitv.ru/modeli/lg-50qned80b6b/
lg-50qned82a6b,LG,50QNED82A6B,LG 50QNED82A6B,QNED82,2025,50,12.2,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-50qned82a6b,https://krepitv.ru/modeli/lg-50qned82a6b/
lg-50qned85b6a,LG,50QNED85B6A,LG 50QNED85B6A,QNED85,2026,50,12.6,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-50qned85b6a,https://krepitv.ru/modeli/lg-50qned85b6a/
lg-55qned83b6a,LG,55QNED83B6A,LG 55QNED83B6A,QNED83,2026,55,12.8,without_stand,300,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-55qned83b6a,https://krepitv.ru/modeli/lg-55qned83b6a/
lg-55qned85b6c,LG,55QNED85B6C,LG 55QNED85B6C,QNED85,2026,55,14.5,without_stand,300,300,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-55qned85b6c,https://krepitv.ru/modeli/lg-55qned85b6c/
lg-55qned86a6a,LG,55QNED86A6A,LG 55QNED86A6A,QNED86,2025,55,15.5,without_stand,300,300,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-55qned86a6a,https://krepitv.ru/modeli/lg-55qned86a6a/
lg-55qned93a6a,LG,55QNED93A6A,LG 55QNED93A6A,QNED93,2025,55,12.5,without_stand,300,300,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-55qned93a6a,https://krepitv.ru/modeli/lg-55qned93a6a/
lg-65qned80a6a,LG,65QNED80A6A,LG 65QNED80A6A,QNED80,2025,65,22.5,without_stand,300,300,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-65qned80a6a,https://krepitv.ru/modeli/lg-65qned80a6a/
lg-65qned86a6a,LG,65QNED86A6A,LG 65QNED86A6A,QNED86,2025,65,22.5,without_stand,300,300,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-65qned86a6a,https://krepitv.ru/modeli/lg-65qned86a6a/
lg-oled42c5rla,LG,OLED42C5RLA,LG OLED42C5RLA,OLED C5,2025,42,9.8,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-oled42c5rla,https://krepitv.ru/modeli/lg-oled42c5rla/
lg-oled48c5rla,LG,OLED48C5RLA,LG OLED48C5RLA,OLED C5,2025,48,14.9,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-oled48c5rla,https://krepitv.ru/modeli/lg-oled48c5rla/
lg-oled55b5rla,LG,OLED55B5RLA,LG OLED55B5RLA,OLED B5,2025,55,14.3,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-oled55b5rla,https://krepitv.ru/modeli/lg-oled55b5rla/
lg-oled55c4rla,LG,OLED55C4RLA,LG OLED55C4RLA,OLED C4,2024,55,14.1,without_stand,300,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-oled55c4rla,https://krepitv.ru/modeli/lg-oled55c4rla/
lg-oled55c5rla,LG,OLED55C5RLA,LG OLED55C5RLA,OLED C5,2025,55,14.1,without_stand,300,200,false,,,,2026-07-30,Официальные характеристики LG,https://www.lg.com/ru/televisions/lg-oled55c5rla,https://krepitv.ru/modeli/lg-oled55c5rla/
lg-oled55g5rla,LG,OLED55G5RLA,LG OLED55G5RLA,OLED G5,2025,55,16.8,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-oled55g5rla,https://krepitv.ru/modeli/lg-oled55g5rla/
lg-oled65c5rla,LG,OLED65C5RLA,LG OLED65C5RLA,OLED C5,2025,65,16.6,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики LG,https://www.lg.com/ru/televisions/lg-oled65c5rla,https://krepitv.ru/modeli/lg-oled65c5rla/
philips-50pud7029,Philips,50PUD7029/71,Philips 50PUD7029/71,7000 series,,50,9,without_stand,300,300,false,,,,2026-08-04,Официальный паспорт Philips,https://www.documents.philips.com/assets/20240206/ccf74d9fb1344aa1a8b1b10e0100a682.pdf,https://krepitv.ru/modeli/philips-50pud7029/
samsung-qe43q7faauxru,Samsung,QE43Q7FAAUXRU,Samsung QE43Q7FAAUXRU,Q7F,2025,43,7.1,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-43-inch-qled-4k-smart-tv-qe43q7faauxru/,https://krepitv.ru/modeli/samsung-qe43q7faauxru/
samsung-qe43q8faauxru,Samsung,QE43Q8FAAUXRU,Samsung QE43Q8FAAUXRU,Q8F,2025,43,7.9,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q8f-43-inch-qled-4k-smart-tv-qe43q8faauxru/,https://krepitv.ru/modeli/samsung-qe43q8faauxru/
samsung-qe43qef1auxru,Samsung,QE43QEF1AUXRU,Samsung QE43QEF1AUXRU,QEF1,2025,43,7.1,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/qef1-43-inch-qled-4k-smart-tv-qe43qef1auxru/,https://krepitv.ru/modeli/samsung-qe43qef1auxru/
samsung-qe43qn90fauxru,Samsung,QE43QN90FAUXRU,Samsung QE43QN90FAUXRU,QN90F,2025,43,9.4,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/qn90f-43-inch-neo-qled-4k-mini-led-smart-tv-qe43qn90fauxru/,https://krepitv.ru/modeli/samsung-qe43qn90fauxru/
samsung-qe50q7faauxru,Samsung,QE50Q7FAAUXRU,Samsung QE50Q7FAAUXRU,Q7F,2025,50,9.6,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-50-inch-qled-4k-smart-tv-qe50q7faauxru/,https://krepitv.ru/modeli/samsung-qe50q7faauxru/
samsung-qe50qn90fauxru,Samsung,QE50QN90FAUXRU,Samsung QE50QN90FAUXRU,QN90F,2025,50,13.5,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/qn90f-50-inch-neo-qled-4k-mini-led-smart-tv-qe50qn90fauxru/,https://krepitv.ru/modeli/samsung-qe50qn90fauxru/
samsung-qe55q70dauxru,Samsung,QE55Q70DAUXRU,Samsung QE55Q70DAUXRU,Q70D,2024,55,15.3,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q70d-55-inch-qled-4k-tizen-os-smart-tv-qe55q70dauxru/,https://krepitv.ru/modeli/samsung-qe55q70dauxru/
samsung-qe55q7f5auxru,Samsung,QE55Q7F5AUXRU,Samsung QE55Q7F5AUXRU,Q7F5,2025,55,10.8,without_stand,200,200,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qe55q7f5auxru/,https://krepitv.ru/modeli/samsung-qe55q7f5auxru/
samsung-qe55q7faauxru,Samsung,QE55Q7FAAUXRU,Samsung QE55Q7FAAUXRU,Q7FA,2025,55,11.3,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qe55q7faauxru/,https://krepitv.ru/modeli/samsung-qe55q7faauxru/
samsung-qe55qn70fauxru,Samsung,QE55QN70FAUXRU,Samsung QE55QN70FAUXRU,QN70F,2025,55,14.2,without_stand,200,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/qn70f-55-inch-neo-qled-4k-mini-led-smart-tv-qe55qn70fauxru/,https://krepitv.ru/modeli/samsung-qe55qn70fauxru/
samsung-qe55s85faexru,Samsung,QE55S85FAEXRU,Samsung QE55S85FAEXRU,S85F,2025,55,13,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/oled-tv/s85f-55-inch-oled-4k-smart-tv-qe55s85faexru/,https://krepitv.ru/modeli/samsung-qe55s85faexru/
samsung-qe55s90fauxru,Samsung,QE55S90FAUXRU,Samsung QE55S90FAUXRU,S90F,2025,55,16,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/oled-tv/s90f-55-inch-oled-4k-smart-tv-qe55s90fauxru/,https://krepitv.ru/modeli/samsung-qe55s90fauxru/
samsung-qe65q7faauxru,Samsung,QE65Q7FAAUXRU,Samsung QE65Q7FAAUXRU,Q7F,2025,65,16.7,without_stand,400,300,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-65-inch-qled-4k-smart-tv-qe65q7faauxru/,https://krepitv.ru/modeli/samsung-qe65q7faauxru/
samsung-qe65qn70fauxru,Samsung,QE65QN70FAUXRU,Samsung QE65QN70FAUXRU,QN70F,2025,65,20.8,without_stand,400,300,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/qn70f-65-inch-neo-qled-4k-mini-led-smart-tv-qe65qn70fauxru/,https://krepitv.ru/modeli/samsung-qe65qn70fauxru/
samsung-qe65s85faexru,Samsung,QE65S85FAEXRU,Samsung QE65S85FAEXRU,S85F,2025,65,17.4,without_stand,300,200,false,,,,2026-07-30,Официальные характеристики Samsung,https://www.samsung.com/ru/tvs/oled-tv/s85f-65-inch-oled-4k-smart-tv-qe65s85faexru/,https://krepitv.ru/modeli/samsung-qe65s85faexru/
samsung-qe65s90faexru,Samsung,QE65S90FAEXRU,Samsung QE65S90FAEXRU,S90F,2025,65,19.1,without_stand,300,200,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/oled-tv/s90f-65-inch-oled-4k-smart-tv-qe65s90faexru/,https://krepitv.ru/modeli/samsung-qe65s90faexru/
samsung-qe75q7faauxru,Samsung,QE75Q7FAAUXRU,Samsung QE75Q7FAAUXRU,Q7FA,2025,75,25.3,without_stand,400,400,false,,,,2026-07-30,Официальные российские характеристики Samsung,https://www.samsung.com/ru/tvs/qled-tv/q7f-75-inch-qled-4k-smart-tv-qe75q7faauxru/,https://krepitv.ru/modeli/samsung-qe75q7faauxru/
