brand,exact_sku,diagonal_in,official_discovery_source,official_source_type,exact_sku_found_open_icecat,icecat_returned_sku,icecat_http_status,vesa_mm,weight_without_stand_kg,body_width_without_stand_mm,body_height_without_stand_mm,body_depth_without_stand_mm,icecat_query_url,icecat_license_attribution,checked_date,notes
TCL,55C8L,55,https://www.tcl.com/ru/ru/tvs/55-inch-tv,manufacturer_ru_catalog_page,yes,55C8L,200,300x300,13.3,1226,710,56,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=TCL&productcode=55C8L,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
TCL,55C7K,55,https://www.tcl.com/ru/ru/tvs/55-inch-tv,manufacturer_ru_catalog_page,yes,55C7K,200,300x300,13.3,1226,710,56,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=TCL&productcode=55C7K,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
TCL,55C6K,55,https://www.tcl.com/ru/ru/tvs/55-inch-tv,manufacturer_ru_catalog_page,yes,55C6K,200,300x300,12.3,1229,713,57,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=TCL&productcode=55C6K,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
TCL,55P8K,55,https://www.tcl.com/ru/ru/tvs/55-inch-tv,manufacturer_ru_catalog_page,yes,55P8K,200,300x300,11,1224,708,70,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=TCL&productcode=55P8K,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
TCL,55P7K,55,https://www.tcl.com/ru/ru/tvs/55-inch-tv,manufacturer_ru_catalog_page,yes,55P7K,200,300x300,10.5,1224,708,70,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=TCL&productcode=55P7K,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
Hisense,"55U7S PRO",55,https://ru.hisense.com/catalog/tvs/f/new_tv_diagonal-is-55/,manufacturer_ru_catalog_page,yes,"55U7S PRO",200,400x400,14.1,1226,714,52,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Hisense&productcode=55U7S%20PRO,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match including the space before PRO
Hisense,55U77SL,55,https://ru.hisense.com/catalog/tvs/f/new_tv_diagonal-is-55/,manufacturer_ru_catalog_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Hisense&productcode=55U77SL,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
Hisense,55U7S,55,https://ru.hisense.com/catalog/tvs/f/new_tv_diagonal-is-55/,manufacturer_ru_catalog_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Hisense&productcode=55U7S,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
Hisense,55E77SL,55,https://ru.hisense.com/catalog/tvs/f/new_tv_diagonal-is-55/,manufacturer_ru_catalog_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Hisense&productcode=55E77SL,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
Hisense,55E7S,55,https://ru.hisense.com/catalog/tvs/f/new_tv_diagonal-is-55/,manufacturer_ru_catalog_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Hisense&productcode=55E7S,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
DEXP,32FKN1,32,https://www.dns-shop.ru/product/96a697c9b0eaed20/32-81-sm-televizor-dexp-32fkn1-cernyj/,brand_owner_retail_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=DEXP&productcode=32FKN1,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,DEXP is a DNS house brand; exact SKU was not returned by Open Icecat
DEXP,32HHS1,32,https://www.dns-shop.ru/product/9ca15e8bb0eaed20/32-81-sm-televizor-dexp-32hhs1-cernyj/,brand_owner_retail_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=DEXP&productcode=32HHS1,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,DEXP is a DNS house brand; exact SKU was not returned by Open Icecat
DEXP,55UCS1,55,https://www.dns-shop.ru/product/b0b5c717b0eaed20/55-139-sm-televizor-dexp-55ucs1-cernyj/,brand_owner_retail_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=DEXP&productcode=55UCS1,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,DEXP is a DNS house brand; exact SKU was not returned by Open Icecat
DEXP,65UCS1,65,https://www.dns-shop.ru/product/b2b291d6b0eaed20/65-164-sm-televizor-dexp-65ucs1-cernyj/,brand_owner_retail_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=DEXP&productcode=65UCS1,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,DEXP is a DNS house brand; exact SKU was not returned by Open Icecat
DEXP,U65D9000K,65,https://www.dns-shop.ru/product/6bf3c6a539fa3330/televizor-led-65-165-sm-dexp-u65d9000k-4k-ultrahd-3840x2160-smart-tv/,brand_owner_retail_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=DEXP&productcode=U65D9000K,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,DEXP is a DNS house brand; exact SKU was not returned by Open Icecat
